tensor([10.8633], device='cuda:0')
tensor([25.7227], device='cuda:0')
tensor([37.3105], device='cuda:0')
tensor([47.8301], device='cuda:0')
tensor([56.2500], device='cuda:0')
tensor([64.4121], device='cuda:0')
tensor([71.9004], device='cuda:0')
tensor([78.8730], device='cuda:0')
tensor([84.8867], device='cuda:0')
tensor([89.7109], device='cuda:0')
tensor([92.1895], device='cuda:0')
tensor([94.1641], device='cuda:0')
tensor([96.1914], device='cuda:0')
tensor([96.6777], device='cuda:0')
tensor([97.2188], device='cuda:0')
tensor([97.9980], device='cuda:0')
tensor([98.5684], device='cuda:0')
tensor([98.8457], device='cuda:0')
tensor([98.8555], device='cuda:0')
tensor([98.5547], device='cuda:0')
tensor([98.3008], device='cuda:0')
tensor([99.2871], device='cuda:0')
tensor([99.4453], device='cuda:0')
tensor([99.5293], device='cuda:0')
tensor([98.8887], device='cuda:0')
tensor([99.4629], device='cuda:0')
tensor([99.6992], device='cuda:0')
tensor([99.6953], device='cuda:0')
tensor([99.2441], device='cuda:0')
tensor([99.1914], device='cuda:0')
tensor([99.2754], device='cuda:0')
tensor([99.7031], device='cuda:0')
tensor([99.8105], device='cuda:0')
tensor([99.8496], device='cuda:0')
tensor([99.8457], device='cuda:0')
tensor([99.9199], device='cuda:0')
tensor([99.7070], device='cuda:0')
tensor([99.6758], device='cuda:0')
tensor([99.6191], device='cuda:0')
tensor([99.8262], device='cuda:0')
tensor([99.6816], device='cuda:0')
tensor([99.8770], device='cuda:0')
tensor([99.8301], device='cuda:0')
tensor([99.0723], device='cuda:0')
tensor([98.6582], device='cuda:0')
tensor([99.1836], device='cuda:0')
tensor([99.4707], device='cuda:0')
tensor([98.9160], device='cuda:0')
tensor([99.7148], device='cuda:0')
tensor([99.8223], device='cuda:0')
tensor([99.8965], device='cuda:0')
tensor([99.8105], device='cuda:0')
tensor([99.9004], device='cuda:0')
tensor([99.8906], device='cuda:0')
tensor([99.8789], device='cuda:0')
tensor([99.9277], device='cuda:0')
tensor([99.8984], device='cuda:0')
tensor([99.8555], device='cuda:0')
tensor([99.8770], device='cuda:0')
tensor([97.8945], device='cuda:0')
tensor([97.6442], device='cuda:0')
tensor([98.2635], device='cuda:0')
tensor([97.9113], device='cuda:0')
tensor([95.5351], device='cuda:0')
tensor([95.2322], device='cuda:0')
tensor([94.6264], device='cuda:0')
tensor([93.6166], device='cuda:0')
tensor([94.0267], device='cuda:0')
tensor([93.7755], device='cuda:0')
tensor([92.6399], device='cuda:0')
tensor([93.6170], device='cuda:0')
tensor([93.3008], device='cuda:0')
tensor([92.2718], device='cuda:0')
tensor([92.0118], device='cuda:0')
tensor([92.9127], device='cuda:0')
tensor([92.8889], device='cuda:0')
tensor([92.3251], device='cuda:0')
tensor([92.2620], device='cuda:0')
tensor([92.2454], device='cuda:0')
tensor([90.9492], device='cuda:0')
tensor([92.3514], device='cuda:0')
tensor([92.4522], device='cuda:0')
tensor([92.9097], device='cuda:0')
tensor([87.5449], device='cuda:0')
tensor([92.0014], device='cuda:0')
tensor([90.6328], device='cuda:0')
tensor([89.8790], device='cuda:0')
