tensor([10.4023], device='cuda:0')
tensor([24.6973], device='cuda:0')
tensor([36.5605], device='cuda:0')
tensor([46.2676], device='cuda:0')
tensor([55.3730], device='cuda:0')
tensor([63.2461], device='cuda:0')
tensor([69.8262], device='cuda:0')
tensor([77.4785], device='cuda:0')
tensor([82.7734], device='cuda:0')
tensor([88.0684], device='cuda:0')
tensor([91.4941], device='cuda:0')
tensor([93.1680], device='cuda:0')
tensor([95.7246], device='cuda:0')
tensor([96.2090], device='cuda:0')
tensor([97.2207], device='cuda:0')
tensor([97.6895], device='cuda:0')
tensor([97.9375], device='cuda:0')
tensor([98.1348], device='cuda:0')
tensor([98.6250], device='cuda:0')
tensor([98.6016], device='cuda:0')
tensor([98.7637], device='cuda:0')
tensor([98.8320], device='cuda:0')
tensor([99.0137], device='cuda:0')
tensor([99.2227], device='cuda:0')
tensor([98.9375], device='cuda:0')
tensor([99.2227], device='cuda:0')
tensor([98.9414], device='cuda:0')
tensor([99.0234], device='cuda:0')
tensor([99.0664], device='cuda:0')
tensor([99.1074], device='cuda:0')
tensor([99.4258], device='cuda:0')
tensor([99.7676], device='cuda:0')
tensor([99.8086], device='cuda:0')
tensor([99.7520], device='cuda:0')
tensor([99.9102], device='cuda:0')
tensor([99.8105], device='cuda:0')
tensor([99.8574], device='cuda:0')
tensor([99.8672], device='cuda:0')
tensor([99.8262], device='cuda:0')
tensor([99.8691], device='cuda:0')
tensor([96.4780], device='cuda:0')
tensor([96.4955], device='cuda:0')
tensor([96.6557], device='cuda:0')
tensor([96.1736], device='cuda:0')
tensor([94.2189], device='cuda:0')
tensor([93.6918], device='cuda:0')
tensor([93.0844], device='cuda:0')
tensor([92.9467], device='cuda:0')
tensor([92.5619], device='cuda:0')
tensor([92.6830], device='cuda:0')
tensor([91.7643], device='cuda:0')
tensor([91.6200], device='cuda:0')
tensor([92.4647], device='cuda:0')
tensor([90.6671], device='cuda:0')
tensor([91.1541], device='cuda:0')
tensor([90.5727], device='cuda:0')
tensor([90.9998], device='cuda:0')
tensor([91.9169], device='cuda:0')
tensor([91.1739], device='cuda:0')
tensor([92.4319], device='cuda:0')
tensor([90.3839], device='cuda:0')
tensor([91.1408], device='cuda:0')
tensor([90.8420], device='cuda:0')
tensor([91.4699], device='cuda:0')
tensor([91.9418], device='cuda:0')
tensor([89.5047], device='cuda:0')
tensor([90.7522], device='cuda:0')
tensor([90.7865], device='cuda:0')
tensor([91.1139], device='cuda:0')
tensor([90.6560], device='cuda:0')
tensor([89.5520], device='cuda:0')
tensor([90.7700], device='cuda:0')
tensor([89.7559], device='cuda:0')
tensor([88.3347], device='cuda:0')
tensor([88.2242], device='cuda:0')
tensor([90.3941], device='cuda:0')
tensor([91.3398], device='cuda:0')
tensor([88.7259], device='cuda:0')
tensor([88.1707], device='cuda:0')
tensor([87.2708], device='cuda:0')
tensor([90.2416], device='cuda:0')
tensor([89.5796], device='cuda:0')
tensor([87.9855], device='cuda:0')
tensor([88.0991], device='cuda:0')
tensor([89.1695], device='cuda:0')
tensor([87.2304], device='cuda:0')
tensor([87.9917], device='cuda:0')
tensor([86.1322], device='cuda:0')
tensor([83.0122], device='cuda:0')
tensor([90.1026], device='cuda:0')
tensor([89.4681], device='cuda:0')
tensor([88.5076], device='cuda:0')
tensor([87.8736], device='cuda:0')
tensor([85.9314], device='cuda:0')
tensor([89.0826], device='cuda:0')
tensor([85.5072], device='cuda:0')
tensor([84.8852], device='cuda:0')
tensor([85.3952], device='cuda:0')
tensor([87.3084], device='cuda:0')
tensor([87.7102], device='cuda:0')
tensor([84.2206], device='cuda:0')
tensor([89.4046], device='cuda:0')
tensor([85.3687], device='cuda:0')
tensor([86.8933], device='cuda:0')
tensor([88.4106], device='cuda:0')
tensor([88.6348], device='cuda:0')
tensor([80.5749], device='cuda:0')
tensor([85.9244], device='cuda:0')
tensor([80.5372], device='cuda:0')
tensor([83.1837], device='cuda:0')
tensor([83.1270], device='cuda:0')
tensor([85.3570], device='cuda:0')
tensor([85.9242], device='cuda:0')
tensor([84.7416], device='cuda:0')
tensor([79.8411], device='cuda:0')
tensor([84.3435], device='cuda:0')
tensor([87.3673], device='cuda:0')
tensor([83.7705], device='cuda:0')
tensor([79.6680], device='cuda:0')
tensor([83.0788], device='cuda:0')
tensor([82.3436], device='cuda:0')
tensor([83.9762], device='cuda:0')
tensor([84.4342], device='cuda:0')
tensor([87.3716], device='cuda:0')
tensor([86.3365], device='cuda:0')
tensor([86.3177], device='cuda:0')
tensor([86.1103], device='cuda:0')
tensor([84.2557], device='cuda:0')
tensor([81.1082], device='cuda:0')
tensor([88.1015], device='cuda:0')
tensor([87.4324], device='cuda:0')
tensor([87.7882], device='cuda:0')
tensor([87.2168], device='cuda:0')
tensor([87.4034], device='cuda:0')
tensor([88.6688], device='cuda:0')
tensor([81.8115], device='cuda:0')
tensor([86.6394], device='cuda:0')
tensor([90.6341], device='cuda:0')
tensor([85.6907], device='cuda:0')
tensor([88.9854], device='cuda:0')
tensor([83.5273], device='cuda:0')
tensor([88.4748], device='cuda:0')
tensor([88.1728], device='cuda:0')
tensor([89.6215], device='cuda:0')
tensor([79.1771], device='cuda:0')
tensor([90.7852], device='cuda:0')
tensor([90.3547], device='cuda:0')
tensor([91.4424], device='cuda:0')
tensor([90.6096], device='cuda:0')
tensor([89.6037], device='cuda:0')
tensor([87.9516], device='cuda:0')
tensor([83.1781], device='cuda:0')
tensor([88.6450], device='cuda:0')
tensor([88.3060], device='cuda:0')
tensor([87.8237], device='cuda:0')
tensor([91.1536], device='cuda:0')
tensor([82.2678], device='cuda:0')
tensor([90.1355], device='cuda:0')
tensor([91.4262], device='cuda:0')
tensor([88.7576], device='cuda:0')
tensor([90.9668], device='cuda:0')
tensor([89.6948], device='cuda:0')
tensor([87.1806], device='cuda:0')
tensor([90.2609], device='cuda:0')
tensor([90.1343], device='cuda:0')
tensor([90.0720], device='cuda:0')
tensor([91.5474], device='cuda:0')
tensor([90.2820], device='cuda:0')
tensor([93.3475], device='cuda:0')
tensor([84.6207], device='cuda:0')
tensor([86.7554], device='cuda:0')
tensor([92.9558], device='cuda:0')
tensor([90.3787], device='cuda:0')
tensor([91.4693], device='cuda:0')
tensor([91.5167], device='cuda:0')
tensor([87.0928], device='cuda:0')
tensor([89.2659], device='cuda:0')
tensor([91.4183], device='cuda:0')
tensor([92.1438], device='cuda:0')
tensor([88.9348], device='cuda:0')
tensor([91.3279], device='cuda:0')
tensor([91.2964], device='cuda:0')
