tensor([10.4023], device='cuda:0')
tensor([25.0215], device='cuda:0')
tensor([37.8770], device='cuda:0')
tensor([48.3164], device='cuda:0')
tensor([57.2539], device='cuda:0')
tensor([65.1602], device='cuda:0')
tensor([73.0312], device='cuda:0')
tensor([79.0215], device='cuda:0')
tensor([85.7676], device='cuda:0')
tensor([89.3965], device='cuda:0')
tensor([92.9082], device='cuda:0')
tensor([94.5410], device='cuda:0')
tensor([95.9492], device='cuda:0')
tensor([96.8281], device='cuda:0')
tensor([97.5781], device='cuda:0')
tensor([98.0098], device='cuda:0')
tensor([98.3477], device='cuda:0')
tensor([98.4980], device='cuda:0')
tensor([98.7324], device='cuda:0')
tensor([98.5000], device='cuda:0')
tensor([97.3109], device='cuda:0')
tensor([97.7631], device='cuda:0')
tensor([97.7416], device='cuda:0')
tensor([97.7355], device='cuda:0')
tensor([97.1868], device='cuda:0')
tensor([96.2585], device='cuda:0')
tensor([95.6553], device='cuda:0')
tensor([95.1891], device='cuda:0')
tensor([96.0394], device='cuda:0')
tensor([94.4461], device='cuda:0')
tensor([95.4889], device='cuda:0')
tensor([94.4580], device='cuda:0')
tensor([94.7413], device='cuda:0')
tensor([94.5049], device='cuda:0')
tensor([94.3443], device='cuda:0')
tensor([93.0295], device='cuda:0')
tensor([94.8932], device='cuda:0')
tensor([92.6975], device='cuda:0')
tensor([95.4992], device='cuda:0')
tensor([91.9204], device='cuda:0')
tensor([94.7618], device='cuda:0')
tensor([91.7938], device='cuda:0')
tensor([92.8068], device='cuda:0')
tensor([96.5683], device='cuda:0')
tensor([94.7946], device='cuda:0')
tensor([90.4002], device='cuda:0')
tensor([95.7421], device='cuda:0')
tensor([91.1381], device='cuda:0')
tensor([92.8337], device='cuda:0')
tensor([93.3167], device='cuda:0')
tensor([94.0011], device='cuda:0')
tensor([94.2108], device='cuda:0')
tensor([89.3527], device='cuda:0')
tensor([95.1368], device='cuda:0')
tensor([91.5336], device='cuda:0')
tensor([91.5118], device='cuda:0')
tensor([91.3626], device='cuda:0')
tensor([94.5513], device='cuda:0')
tensor([90.9588], device='cuda:0')
tensor([91.9077], device='cuda:0')
tensor([87.0035], device='cuda:0')
tensor([81.1267], device='cuda:0')
tensor([91.2022], device='cuda:0')
tensor([81.7075], device='cuda:0')
tensor([88.7901], device='cuda:0')
tensor([93.1519], device='cuda:0')
tensor([90.3512], device='cuda:0')
tensor([83.8909], device='cuda:0')
tensor([87.5602], device='cuda:0')
tensor([84.3266], device='cuda:0')
tensor([88.6376], device='cuda:0')
tensor([87.9299], device='cuda:0')
tensor([86.0755], device='cuda:0')
tensor([88.6573], device='cuda:0')
tensor([85.6984], device='cuda:0')
tensor([88.7686], device='cuda:0')
tensor([90.0221], device='cuda:0')
tensor([80.6288], device='cuda:0')
tensor([85.6453], device='cuda:0')
tensor([89.6833], device='cuda:0')
tensor([80.8102], device='cuda:0')
tensor([74.2442], device='cuda:0')
tensor([85.2283], device='cuda:0')
tensor([86.2542], device='cuda:0')
tensor([85.3740], device='cuda:0')
tensor([84.7178], device='cuda:0')
tensor([83.0509], device='cuda:0')
tensor([82.3096], device='cuda:0')
tensor([80.2007], device='cuda:0')
tensor([86.7815], device='cuda:0')
tensor([86.6887], device='cuda:0')
tensor([81.6785], device='cuda:0')
tensor([74.3681], device='cuda:0')
tensor([81.1283], device='cuda:0')
tensor([81.1124], device='cuda:0')
tensor([81.8602], device='cuda:0')
tensor([84.9736], device='cuda:0')
tensor([90.1742], device='cuda:0')
tensor([71.6717], device='cuda:0')
tensor([84.7477], device='cuda:0')
tensor([89.0311], device='cuda:0')
tensor([81.7142], device='cuda:0')
tensor([83.8876], device='cuda:0')
tensor([89.0586], device='cuda:0')
tensor([85.4811], device='cuda:0')
tensor([87.8745], device='cuda:0')
tensor([85.5332], device='cuda:0')
tensor([68.4790], device='cuda:0')
tensor([84.0673], device='cuda:0')
tensor([81.0880], device='cuda:0')
tensor([88.0834], device='cuda:0')
tensor([84.2907], device='cuda:0')
tensor([82.7692], device='cuda:0')
tensor([83.2554], device='cuda:0')
tensor([80.7835], device='cuda:0')
tensor([90.0811], device='cuda:0')
tensor([91.0711], device='cuda:0')
tensor([91.0293], device='cuda:0')
tensor([92.2757], device='cuda:0')
tensor([92.1625], device='cuda:0')
tensor([89.0411], device='cuda:0')
tensor([85.5026], device='cuda:0')
tensor([90.1247], device='cuda:0')
tensor([86.7050], device='cuda:0')
tensor([76.9083], device='cuda:0')
tensor([85.8477], device='cuda:0')
tensor([85.5700], device='cuda:0')
tensor([88.1029], device='cuda:0')
tensor([91.0227], device='cuda:0')
tensor([90.7475], device='cuda:0')
tensor([92.7685], device='cuda:0')
tensor([89.2549], device='cuda:0')
tensor([87.9807], device='cuda:0')
tensor([93.1993], device='cuda:0')
tensor([94.7015], device='cuda:0')
tensor([85.4000], device='cuda:0')
tensor([88.2189], device='cuda:0')
tensor([91.3298], device='cuda:0')
tensor([92.0469], device='cuda:0')
tensor([91.4684], device='cuda:0')
tensor([88.3233], device='cuda:0')
tensor([94.3620], device='cuda:0')
tensor([88.4917], device='cuda:0')
tensor([89.7331], device='cuda:0')
tensor([93.6560], device='cuda:0')
tensor([92.0998], device='cuda:0')
tensor([87.1893], device='cuda:0')
tensor([96.3801], device='cuda:0')
tensor([91.2415], device='cuda:0')
tensor([93.3482], device='cuda:0')
tensor([87.2882], device='cuda:0')
tensor([90.5013], device='cuda:0')
tensor([82.9747], device='cuda:0')
tensor([88.0075], device='cuda:0')
tensor([92.0548], device='cuda:0')
tensor([90.2603], device='cuda:0')
tensor([90.7005], device='cuda:0')
tensor([90.2210], device='cuda:0')
tensor([92.0520], device='cuda:0')
tensor([93.5181], device='cuda:0')
tensor([75.9756], device='cuda:0')
tensor([93.4640], device='cuda:0')
tensor([88.3099], device='cuda:0')
tensor([93.9018], device='cuda:0')
tensor([88.5925], device='cuda:0')
tensor([91.3896], device='cuda:0')
tensor([86.4659], device='cuda:0')
tensor([84.7771], device='cuda:0')
tensor([92.0695], device='cuda:0')
tensor([85.5183], device='cuda:0')
tensor([93.5369], device='cuda:0')
tensor([92.5015], device='cuda:0')
tensor([86.7364], device='cuda:0')
tensor([92.3430], device='cuda:0')
tensor([90.8663], device='cuda:0')
tensor([95.2363], device='cuda:0')
tensor([89.4925], device='cuda:0')
tensor([88.4587], device='cuda:0')
tensor([84.5339], device='cuda:0')
tensor([86.2619], device='cuda:0')
tensor([90.8024], device='cuda:0')
tensor([90.2771], device='cuda:0')
tensor([93.0452], device='cuda:0')
tensor([87.1870], device='cuda:0')
tensor([90.4279], device='cuda:0')
tensor([95.5546], device='cuda:0')
tensor([87.8233], device='cuda:0')
tensor([95.4901], device='cuda:0')
tensor([89.1557], device='cuda:0')
tensor([88.8906], device='cuda:0')
tensor([93.8679], device='cuda:0')
tensor([94.5360], device='cuda:0')
tensor([91.7144], device='cuda:0')
tensor([86.7774], device='cuda:0')
tensor([93.3337], device='cuda:0')
tensor([76.1801], device='cuda:0')
tensor([94.3885], device='cuda:0')
tensor([90.8541], device='cuda:0')
tensor([88.2710], device='cuda:0')
tensor([95.9737], device='cuda:0')
