tensor([10.5195], device='cuda:0')
tensor([25.0859], device='cuda:0')
tensor([37.2969], device='cuda:0')
tensor([47.5430], device='cuda:0')
tensor([56.5957], device='cuda:0')
tensor([64.7500], device='cuda:0')
tensor([71.8477], device='cuda:0')
tensor([79.3242], device='cuda:0')
tensor([84.8633], device='cuda:0')
tensor([89.6270], device='cuda:0')
tensor([92.4766], device='cuda:0')
tensor([94.1953], device='cuda:0')
tensor([95.8613], device='cuda:0')
tensor([96.9434], device='cuda:0')
tensor([97.5586], device='cuda:0')
tensor([98.0234], device='cuda:0')
tensor([98.0898], device='cuda:0')
tensor([98.4492], device='cuda:0')
tensor([98.9980], device='cuda:0')
tensor([99.0176], device='cuda:0')
tensor([98.9609], device='cuda:0')
tensor([98.6133], device='cuda:0')
tensor([98.8438], device='cuda:0')
tensor([99.2188], device='cuda:0')
tensor([98.9082], device='cuda:0')
tensor([98.8164], device='cuda:0')
tensor([99.2363], device='cuda:0')
tensor([99.7422], device='cuda:0')
tensor([99.2363], device='cuda:0')
tensor([99.5078], device='cuda:0')
tensor([99.7090], device='cuda:0')
tensor([99.6543], device='cuda:0')
tensor([99.5996], device='cuda:0')
tensor([99.5078], device='cuda:0')
tensor([99.3555], device='cuda:0')
tensor([99.6992], device='cuda:0')
tensor([99.7715], device='cuda:0')
tensor([99.8730], device='cuda:0')
tensor([99.8867], device='cuda:0')
tensor([99.9219], device='cuda:0')
tensor([99.9082], device='cuda:0')
tensor([99.8008], device='cuda:0')
tensor([99.9512], device='cuda:0')
tensor([99.9609], device='cuda:0')
tensor([99.9668], device='cuda:0')
tensor([99.8887], device='cuda:0')
tensor([99.8828], device='cuda:0')
tensor([99.9551], device='cuda:0')
tensor([99.8730], device='cuda:0')
tensor([99.8945], device='cuda:0')
tensor([98.7910], device='cuda:0')
tensor([97.4082], device='cuda:0')
tensor([98.2559], device='cuda:0')
tensor([98.7734], device='cuda:0')
tensor([99.0586], device='cuda:0')
tensor([99.1523], device='cuda:0')
tensor([99.3750], device='cuda:0')
tensor([99.7363], device='cuda:0')
tensor([99.8809], device='cuda:0')
tensor([99.8027], device='cuda:0')
tensor([99.6807], device='cuda:0')
tensor([99.6687], device='cuda:0')
tensor([99.6841], device='cuda:0')
tensor([99.6298], device='cuda:0')
tensor([99.4304], device='cuda:0')
tensor([96.6085], device='cuda:0')
tensor([97.6370], device='cuda:0')
tensor([98.0000], device='cuda:0')
tensor([96.4783], device='cuda:0')
tensor([98.1867], device='cuda:0')
tensor([90.6415], device='cuda:0')
tensor([99.1871], device='cuda:0')
tensor([96.9229], device='cuda:0')
tensor([94.1544], device='cuda:0')
tensor([99.0256], device='cuda:0')
tensor([98.2968], device='cuda:0')
tensor([85.9052], device='cuda:0')
tensor([99.3131], device='cuda:0')
tensor([98.3186], device='cuda:0')
tensor([88.8617], device='cuda:0')
tensor([99.1580], device='cuda:0')
tensor([88.7300], device='cuda:0')
tensor([99.0822], device='cuda:0')
tensor([77.3685], device='cuda:0')
tensor([91.4508], device='cuda:0')
tensor([90.1441], device='cuda:0')
tensor([97.9970], device='cuda:0')
tensor([69.2421], device='cuda:0')
tensor([67.9369], device='cuda:0')
tensor([79.0163], device='cuda:0')
tensor([82.7783], device='cuda:0')
tensor([87.7478], device='cuda:0')
tensor([90.3905], device='cuda:0')
tensor([82.9788], device='cuda:0')
tensor([85.7792], device='cuda:0')
tensor([81.2077], device='cuda:0')
tensor([82.8835], device='cuda:0')
tensor([59.0395], device='cuda:0')
tensor([84.6022], device='cuda:0')
tensor([72.7932], device='cuda:0')
tensor([59.6058], device='cuda:0')
tensor([89.9360], device='cuda:0')
tensor([96.8382], device='cuda:0')
tensor([75.4287], device='cuda:0')
tensor([73.1997], device='cuda:0')
tensor([79.8164], device='cuda:0')
tensor([85.1018], device='cuda:0')
tensor([83.0671], device='cuda:0')
tensor([75.4563], device='cuda:0')
tensor([58.8122], device='cuda:0')
tensor([93.6376], device='cuda:0')
tensor([71.4507], device='cuda:0')
tensor([86.7760], device='cuda:0')
tensor([80.7489], device='cuda:0')
tensor([61.3996], device='cuda:0')
tensor([88.5061], device='cuda:0')
tensor([73.1182], device='cuda:0')
tensor([60.6286], device='cuda:0')
tensor([94.5442], device='cuda:0')
tensor([66.2971], device='cuda:0')
tensor([79.8840], device='cuda:0')
tensor([84.1300], device='cuda:0')
tensor([73.6132], device='cuda:0')
tensor([64.7489], device='cuda:0')
tensor([94.9445], device='cuda:0')
tensor([81.7376], device='cuda:0')
tensor([81.7036], device='cuda:0')
tensor([91.6670], device='cuda:0')
tensor([88.6759], device='cuda:0')
tensor([82.4580], device='cuda:0')
tensor([88.7871], device='cuda:0')
tensor([81.5979], device='cuda:0')
tensor([80.1764], device='cuda:0')
tensor([78.5035], device='cuda:0')
tensor([87.8480], device='cuda:0')
tensor([77.7787], device='cuda:0')
tensor([96.1146], device='cuda:0')
tensor([59.1636], device='cuda:0')
tensor([81.9354], device='cuda:0')
tensor([83.1789], device='cuda:0')
tensor([67.7153], device='cuda:0')
tensor([95.2024], device='cuda:0')
tensor([55.1239], device='cuda:0')
tensor([88.8775], device='cuda:0')
tensor([65.1253], device='cuda:0')
tensor([82.5537], device='cuda:0')
tensor([95.3369], device='cuda:0')
tensor([87.5654], device='cuda:0')
tensor([94.2470], device='cuda:0')
tensor([88.8148], device='cuda:0')
tensor([94.1099], device='cuda:0')
tensor([90.7825], device='cuda:0')
tensor([93.2127], device='cuda:0')
tensor([97.1743], device='cuda:0')
tensor([90.5495], device='cuda:0')
tensor([77.1083], device='cuda:0')
tensor([91.1568], device='cuda:0')
tensor([97.4504], device='cuda:0')
tensor([90.2784], device='cuda:0')
tensor([83.9631], device='cuda:0')
tensor([80.0964], device='cuda:0')
tensor([83.5486], device='cuda:0')
tensor([80.2614], device='cuda:0')
tensor([96.9664], device='cuda:0')
tensor([97.3075], device='cuda:0')
tensor([63.5689], device='cuda:0')
tensor([79.6406], device='cuda:0')
tensor([95.2607], device='cuda:0')
tensor([91.8895], device='cuda:0')
tensor([92.2181], device='cuda:0')
tensor([92.8274], device='cuda:0')
tensor([92.4781], device='cuda:0')
tensor([87.9765], device='cuda:0')
tensor([95.3931], device='cuda:0')
tensor([88.3223], device='cuda:0')
tensor([75.4420], device='cuda:0')
tensor([96.8598], device='cuda:0')
tensor([95.1529], device='cuda:0')
tensor([97.9050], device='cuda:0')
tensor([95.9138], device='cuda:0')
tensor([76.1948], device='cuda:0')
tensor([96.4656], device='cuda:0')
tensor([75.1717], device='cuda:0')
tensor([83.3929], device='cuda:0')
tensor([97.5085], device='cuda:0')
tensor([91.5240], device='cuda:0')
tensor([89.0319], device='cuda:0')
tensor([96.4823], device='cuda:0')
tensor([95.5288], device='cuda:0')
tensor([95.9158], device='cuda:0')
tensor([80.4969], device='cuda:0')
tensor([78.3856], device='cuda:0')
tensor([92.0321], device='cuda:0')
tensor([42.9350], device='cuda:0')
tensor([69.3381], device='cuda:0')
tensor([97.1701], device='cuda:0')
tensor([97.2203], device='cuda:0')
tensor([54.6751], device='cuda:0')
tensor([94.0922], device='cuda:0')
tensor([96.4721], device='cuda:0')
tensor([92.5494], device='cuda:0')
tensor([97.7302], device='cuda:0')
tensor([88.1323], device='cuda:0')
tensor([98.0136], device='cuda:0')
tensor([91.6217], device='cuda:0')
tensor([97.3428], device='cuda:0')
tensor([92.0341], device='cuda:0')
tensor([86.7009], device='cuda:0')
tensor([94.8406], device='cuda:0')
tensor([87.0780], device='cuda:0')
tensor([75.1702], device='cuda:0')
tensor([95.9287], device='cuda:0')
tensor([89.9539], device='cuda:0')
tensor([96.2835], device='cuda:0')
tensor([91.2618], device='cuda:0')
tensor([82.7249], device='cuda:0')
