tensor([47.4487], device='cuda:0')
tensor([69.8685], device='cuda:0')
tensor([80.6854], device='cuda:0')
tensor([88.0371], device='cuda:0')
tensor([92.9962], device='cuda:0')
tensor([95.5002], device='cuda:0')
tensor([96.9620], device='cuda:0')
tensor([98.0789], device='cuda:0')
tensor([98.4573], device='cuda:0')
tensor([98.6343], device='cuda:0')
tensor([99.0082], device='cuda:0')
tensor([99.1394], device='cuda:0')
tensor([99.2325], device='cuda:0')
tensor([99.2920], device='cuda:0')
tensor([99.3134], device='cuda:0')
tensor([99.7894], device='cuda:0')
tensor([99.6216], device='cuda:0')
tensor([99.5544], device='cuda:0')
tensor([99.6307], device='cuda:0')
tensor([99.7421], device='cuda:0')
tensor([96.7703], device='cuda:0')
tensor([96.8060], device='cuda:0')
tensor([96.5703], device='cuda:0')
tensor([96.4138], device='cuda:0')
tensor([96.1099], device='cuda:0')
tensor([95.7575], device='cuda:0')
tensor([95.4595], device='cuda:0')
tensor([95.5853], device='cuda:0')
tensor([95.5974], device='cuda:0')
tensor([95.4938], device='cuda:0')
tensor([95.4040], device='cuda:0')
tensor([95.8357], device='cuda:0')
tensor([94.8218], device='cuda:0')
tensor([95.0646], device='cuda:0')
tensor([95.4831], device='cuda:0')
tensor([95.2462], device='cuda:0')
tensor([94.8124], device='cuda:0')
tensor([95.0383], device='cuda:0')
tensor([95.1630], device='cuda:0')
tensor([95.3031], device='cuda:0')
tensor([94.9196], device='cuda:0')
tensor([95.2036], device='cuda:0')
tensor([95.1119], device='cuda:0')
tensor([95.1551], device='cuda:0')
tensor([95.1022], device='cuda:0')
tensor([94.7902], device='cuda:0')
tensor([95.2122], device='cuda:0')
tensor([95.2594], device='cuda:0')
tensor([94.8294], device='cuda:0')
tensor([95.1082], device='cuda:0')
tensor([94.8921], device='cuda:0')
tensor([94.3289], device='cuda:0')
tensor([95.2661], device='cuda:0')
tensor([94.7391], device='cuda:0')
tensor([94.5102], device='cuda:0')
tensor([94.9565], device='cuda:0')
tensor([94.3931], device='cuda:0')
tensor([95.1872], device='cuda:0')
tensor([95.0618], device='cuda:0')
tensor([94.3267], device='cuda:0')
tensor([95.1526], device='cuda:0')
tensor([94.6440], device='cuda:0')
tensor([94.7615], device='cuda:0')
tensor([93.8551], device='cuda:0')
tensor([94.4717], device='cuda:0')
tensor([94.3027], device='cuda:0')
tensor([94.8755], device='cuda:0')
tensor([94.7588], device='cuda:0')
tensor([94.4026], device='cuda:0')
tensor([93.6919], device='cuda:0')
tensor([92.8193], device='cuda:0')
tensor([94.5451], device='cuda:0')
tensor([92.3337], device='cuda:0')
tensor([94.1206], device='cuda:0')
tensor([93.6825], device='cuda:0')
tensor([92.5622], device='cuda:0')
tensor([93.7111], device='cuda:0')
tensor([93.4901], device='cuda:0')
tensor([93.6531], device='cuda:0')
tensor([91.9328], device='cuda:0')
tensor([92.4592], device='cuda:0')
tensor([93.8354], device='cuda:0')
tensor([93.5663], device='cuda:0')
tensor([91.6126], device='cuda:0')
tensor([90.9475], device='cuda:0')
tensor([93.3115], device='cuda:0')
tensor([93.9279], device='cuda:0')
tensor([91.2337], device='cuda:0')
tensor([91.9125], device='cuda:0')
tensor([92.3487], device='cuda:0')
tensor([91.0134], device='cuda:0')
tensor([89.8793], device='cuda:0')
tensor([90.0220], device='cuda:0')
tensor([91.2803], device='cuda:0')
tensor([90.3798], device='cuda:0')
tensor([90.5504], device='cuda:0')
tensor([92.7071], device='cuda:0')
tensor([91.1054], device='cuda:0')
tensor([92.7387], device='cuda:0')
tensor([88.8145], device='cuda:0')
tensor([88.5851], device='cuda:0')
tensor([90.1012], device='cuda:0')
tensor([91.4145], device='cuda:0')
tensor([87.9242], device='cuda:0')
tensor([90.8873], device='cuda:0')
tensor([90.8141], device='cuda:0')
tensor([91.0162], device='cuda:0')
tensor([90.1667], device='cuda:0')
tensor([92.2720], device='cuda:0')
tensor([90.0050], device='cuda:0')
tensor([87.6514], device='cuda:0')
tensor([91.8203], device='cuda:0')
tensor([89.8523], device='cuda:0')
tensor([91.4102], device='cuda:0')
tensor([92.7153], device='cuda:0')
tensor([91.0235], device='cuda:0')
tensor([92.6757], device='cuda:0')
tensor([93.5040], device='cuda:0')
tensor([90.4398], device='cuda:0')
tensor([91.5879], device='cuda:0')
tensor([93.9547], device='cuda:0')
tensor([95.4259], device='cuda:0')
tensor([94.1755], device='cuda:0')
tensor([94.6982], device='cuda:0')
tensor([94.9160], device='cuda:0')
tensor([96.0580], device='cuda:0')
tensor([93.7336], device='cuda:0')
tensor([95.1471], device='cuda:0')
tensor([95.1260], device='cuda:0')
tensor([93.8693], device='cuda:0')
tensor([94.7429], device='cuda:0')
tensor([93.7684], device='cuda:0')
tensor([93.0438], device='cuda:0')
tensor([93.1854], device='cuda:0')
tensor([94.1531], device='cuda:0')
tensor([92.6669], device='cuda:0')
tensor([94.6873], device='cuda:0')
tensor([96.1394], device='cuda:0')
tensor([94.3901], device='cuda:0')
tensor([95.9515], device='cuda:0')
tensor([95.3998], device='cuda:0')
tensor([96.2377], device='cuda:0')
tensor([92.5966], device='cuda:0')
tensor([93.4228], device='cuda:0')
tensor([94.0336], device='cuda:0')
tensor([95.9798], device='cuda:0')
tensor([96.2412], device='cuda:0')
tensor([90.8882], device='cuda:0')
tensor([94.5101], device='cuda:0')
tensor([94.4743], device='cuda:0')
tensor([91.9944], device='cuda:0')
tensor([90.4640], device='cuda:0')
tensor([95.5577], device='cuda:0')
tensor([94.9314], device='cuda:0')
tensor([93.5823], device='cuda:0')
tensor([94.0503], device='cuda:0')
tensor([96.4073], device='cuda:0')
tensor([94.3665], device='cuda:0')
tensor([94.3629], device='cuda:0')
tensor([95.1268], device='cuda:0')
tensor([94.8630], device='cuda:0')
tensor([94.8692], device='cuda:0')
tensor([92.3427], device='cuda:0')
tensor([95.1293], device='cuda:0')
tensor([97.0837], device='cuda:0')
tensor([95.6846], device='cuda:0')
tensor([96.3923], device='cuda:0')
tensor([95.5793], device='cuda:0')
tensor([95.7779], device='cuda:0')
tensor([92.5634], device='cuda:0')
tensor([97.3508], device='cuda:0')
tensor([96.5429], device='cuda:0')
tensor([93.5880], device='cuda:0')
tensor([95.8884], device='cuda:0')
tensor([95.4085], device='cuda:0')
tensor([96.1333], device='cuda:0')
tensor([94.4235], device='cuda:0')
tensor([96.2245], device='cuda:0')
tensor([95.6738], device='cuda:0')
tensor([94.5190], device='cuda:0')
tensor([94.8324], device='cuda:0')
tensor([91.8597], device='cuda:0')
tensor([93.1794], device='cuda:0')
tensor([95.2769], device='cuda:0')
tensor([94.2957], device='cuda:0')
tensor([95.8276], device='cuda:0')
tensor([95.3768], device='cuda:0')
tensor([97.5837], device='cuda:0')
tensor([94.3496], device='cuda:0')
tensor([94.8779], device='cuda:0')
tensor([95.1634], device='cuda:0')
tensor([95.0118], device='cuda:0')
