tensor([37.8036], device='cuda:0')
tensor([54.9622], device='cuda:0')
tensor([65.1413], device='cuda:0')
tensor([74.1135], device='cuda:0')
tensor([81.6772], device='cuda:0')
tensor([87.4603], device='cuda:0')
tensor([92.0288], device='cuda:0')
tensor([94.6747], device='cuda:0')
tensor([96.6965], device='cuda:0')
tensor([97.7783], device='cuda:0')
tensor([98.2285], device='cuda:0')
tensor([98.7015], device='cuda:0')
tensor([99.0067], device='cuda:0')
tensor([99.1776], device='cuda:0')
tensor([99.3134], device='cuda:0')
tensor([99.6643], device='cuda:0')
tensor([99.4400], device='cuda:0')
tensor([99.6399], device='cuda:0')
tensor([99.7284], device='cuda:0')
tensor([99.6475], device='cuda:0')
tensor([99.7330], device='cuda:0')
tensor([99.7314], device='cuda:0')
tensor([99.6536], device='cuda:0')
tensor([99.7604], device='cuda:0')
tensor([99.8398], device='cuda:0')
tensor([99.8459], device='cuda:0')
tensor([99.9039], device='cuda:0')
tensor([99.8856], device='cuda:0')
tensor([99.8627], device='cuda:0')
tensor([99.8657], device='cuda:0')
tensor([99.9069], device='cuda:0')
tensor([99.8810], device='cuda:0')
tensor([99.8978], device='cuda:0')
tensor([99.7864], device='cuda:0')
tensor([99.8688], device='cuda:0')
tensor([99.8657], device='cuda:0')
tensor([99.9237], device='cuda:0')
tensor([99.9023], device='cuda:0')
tensor([99.9451], device='cuda:0')
tensor([99.9039], device='cuda:0')
tensor([99.9786], device='cuda:0')
tensor([99.7818], device='cuda:0')
tensor([99.7314], device='cuda:0')
tensor([99.8367], device='cuda:0')
tensor([99.9634], device='cuda:0')
tensor([99.9557], device='cuda:0')
tensor([99.9496], device='cuda:0')
tensor([99.8962], device='cuda:0')
tensor([99.8535], device='cuda:0')
tensor([99.9878], device='cuda:0')
tensor([99.9435], device='cuda:0')
tensor([99.9878], device='cuda:0')
tensor([99.9847], device='cuda:0')
tensor([99.9130], device='cuda:0')
tensor([99.9817], device='cuda:0')
tensor([99.9908], device='cuda:0')
tensor([99.9878], device='cuda:0')
tensor([99.9710], device='cuda:0')
tensor([99.9908], device='cuda:0')
