tensor([27.9709], device='cuda:0')
tensor([39.9109], device='cuda:0')
tensor([47.6654], device='cuda:0')
tensor([54.1702], device='cuda:0')
tensor([58.6273], device='cuda:0')
tensor([61.5326], device='cuda:0')
tensor([64.6362], device='cuda:0')
tensor([67.1188], device='cuda:0')
tensor([69.2810], device='cuda:0')
tensor([71.5408], device='cuda:0')
tensor([72.9202], device='cuda:0')
tensor([75.0351], device='cuda:0')
tensor([76.9409], device='cuda:0')
tensor([78.7018], device='cuda:0')
tensor([80.1407], device='cuda:0')
tensor([81.6254], device='cuda:0')
tensor([83.1589], device='cuda:0')
tensor([84.5200], device='cuda:0')
tensor([85.9009], device='cuda:0')
tensor([86.9629], device='cuda:0')
tensor([87.9532], device='cuda:0')
tensor([88.9496], device='cuda:0')
tensor([90.0787], device='cuda:0')
tensor([90.9836], device='cuda:0')
tensor([91.7297], device='cuda:0')
tensor([92.4286], device='cuda:0')
tensor([93.3212], device='cuda:0')
tensor([93.7225], device='cuda:0')
tensor([94.5740], device='cuda:0')
tensor([94.9203], device='cuda:0')
tensor([95.2911], device='cuda:0')
tensor([95.9747], device='cuda:0')
tensor([96.3028], device='cuda:0')
tensor([96.6141], device='cuda:0')
tensor([96.9223], device='cuda:0')
tensor([97.1985], device='cuda:0')
tensor([97.4152], device='cuda:0')
tensor([97.6700], device='cuda:0')
tensor([97.7844], device='cuda:0')
tensor([98.1201], device='cuda:0')
tensor([98.3139], device='cuda:0')
tensor([98.3032], device='cuda:0')
tensor([98.5489], device='cuda:0')
tensor([98.6984], device='cuda:0')
tensor([98.7686], device='cuda:0')
tensor([98.8510], device='cuda:0')
tensor([98.8708], device='cuda:0')
tensor([98.9716], device='cuda:0')
tensor([99.0097], device='cuda:0')
tensor([99.1302], device='cuda:0')
tensor([99.1776], device='cuda:0')
tensor([99.2264], device='cuda:0')
tensor([99.3118], device='cuda:0')
tensor([99.3378], device='cuda:0')
tensor([99.3927], device='cuda:0')
tensor([99.4354], device='cuda:0')
tensor([99.4370], device='cuda:0')
tensor([99.4781], device='cuda:0')
tensor([99.5361], device='cuda:0')
tensor([99.5438], device='cuda:0')
tensor([99.5239], device='cuda:0')
tensor([99.5911], device='cuda:0')
tensor([99.5697], device='cuda:0')
tensor([99.6445], device='cuda:0')
tensor([99.6597], device='cuda:0')
tensor([99.6689], device='cuda:0')
tensor([99.6948], device='cuda:0')
tensor([99.6750], device='cuda:0')
tensor([99.7360], device='cuda:0')
tensor([99.7269], device='cuda:0')
tensor([99.7513], device='cuda:0')
tensor([99.7620], device='cuda:0')
tensor([99.7452], device='cuda:0')
tensor([99.7726], device='cuda:0')
tensor([99.7894], device='cuda:0')
tensor([99.7940], device='cuda:0')
tensor([99.8154], device='cuda:0')
tensor([99.8352], device='cuda:0')
tensor([99.8077], device='cuda:0')
tensor([99.8245], device='cuda:0')
tensor([99.8428], device='cuda:0')
tensor([99.8611], device='cuda:0')
tensor([99.8825], device='cuda:0')
tensor([99.8596], device='cuda:0')
tensor([99.8596], device='cuda:0')
tensor([99.8886], device='cuda:0')
tensor([99.8535], device='cuda:0')
tensor([99.8596], device='cuda:0')
tensor([99.9023], device='cuda:0')
tensor([99.8810], device='cuda:0')
tensor([99.9023], device='cuda:0')
tensor([99.9130], device='cuda:0')
tensor([99.8947], device='cuda:0')
tensor([99.9329], device='cuda:0')
tensor([99.9191], device='cuda:0')
tensor([99.9146], device='cuda:0')
tensor([99.9237], device='cuda:0')
tensor([99.9237], device='cuda:0')
tensor([99.9130], device='cuda:0')
tensor([99.9207], device='cuda:0')
tensor([99.9207], device='cuda:0')
tensor([99.9466], device='cuda:0')
tensor([99.9313], device='cuda:0')
tensor([99.9313], device='cuda:0')
tensor([99.9313], device='cuda:0')
tensor([99.9207], device='cuda:0')
tensor([99.9420], device='cuda:0')
tensor([99.9237], device='cuda:0')
tensor([99.9451], device='cuda:0')
tensor([99.9634], device='cuda:0')
tensor([99.9451], device='cuda:0')
tensor([99.9481], device='cuda:0')
tensor([99.9435], device='cuda:0')
tensor([99.9573], device='cuda:0')
tensor([99.9603], device='cuda:0')
tensor([99.9573], device='cuda:0')
tensor([99.9557], device='cuda:0')
tensor([99.9588], device='cuda:0')
tensor([99.9680], device='cuda:0')
tensor([99.9725], device='cuda:0')
tensor([99.9603], device='cuda:0')
tensor([99.9619], device='cuda:0')
tensor([99.9710], device='cuda:0')
tensor([99.9588], device='cuda:0')
tensor([99.9649], device='cuda:0')
tensor([99.9680], device='cuda:0')
tensor([99.9741], device='cuda:0')
tensor([99.9832], device='cuda:0')
tensor([99.9741], device='cuda:0')
tensor([99.9741], device='cuda:0')
